架构,优化级别,数组大小,算法,执行时间(秒)
arm64,O0,100000,算法1,0.001918627
arm64,O0,100000,算法2,0.001833886
arm64,O0,100000,算法3,0.003330102
arm64,O0,100000,算法4,0.004457393
arm64,O0,400000,算法1,0.007655126
arm64,O0,400000,算法2,0.007773539
arm64,O0,400000,算法3,0.013666723
arm64,O0,400000,算法4,0.018563449
arm64,O0,800000,算法1,0.015601260
arm64,O0,800000,算法2,0.015664862
arm64,O0,800000,算法3,0.027772342
arm64,O0,800000,算法4,0.036667227
arm64,O0,1000000,算法1,0.015224339
arm64,O0,1000000,算法2,0.015387125
arm64,O0,1000000,算法3,0.027411445
arm64,O0,1000000,算法4,0.036454292
arm64,O0,4000000,算法1,0.063598407
arm64,O0,4000000,算法2,0.062681577
arm64,O0,4000000,算法3,0.113345509
arm64,O0,4000000,算法4,0.154622971
arm64,O0,6000000,算法1,0.128290662
arm64,O0,6000000,算法2,0.127844491
arm64,O0,6000000,算法3,0.583945965
arm64,O0,6000000,算法4,0.302681967
arm64,O0,8000000,算法1,0.124276970
arm64,O0,8000000,算法2,0.123490990
arm64,O0,8000000,算法3,0.228517369
arm64,O0,8000000,算法4,0.642987977
arm64,O0,10000000,算法1,0.633256004
arm64,O0,10000000,算法2,0.307544969
arm64,O0,10000000,算法3,0.546264306
arm64,O0,10000000,算法4,0.750033696
arm64,O1,100000,算法1,0.000466199
arm64,O1,100000,算法2,0.000430019
arm64,O1,100000,算法3,0.000673378
arm64,O1,100000,算法4,0.000570260
arm64,O1,400000,算法1,0.001892624
arm64,O1,400000,算法2,0.001774179
arm64,O1,400000,算法3,0.002728245
arm64,O1,400000,算法4,0.002441979
arm64,O1,800000,算法1,0.003682729
arm64,O1,800000,算法2,0.003599516
arm64,O1,800000,算法3,0.005535797
arm64,O1,800000,算法4,0.005191166
arm64,O1,1000000,算法1,0.003786235
arm64,O1,1000000,算法2,0.003733258
arm64,O1,1000000,算法3,0.005866005
arm64,O1,1000000,算法4,0.005525608
arm64,O1,4000000,算法1,0.015545676
arm64,O1,4000000,算法2,0.014656326
arm64,O1,4000000,算法3,0.026283695
arm64,O1,4000000,算法4,0.025139468
arm64,O1,6000000,算法1,0.030695652
arm64,O1,6000000,算法2,0.030074478
arm64,O1,6000000,算法3,0.050358223
arm64,O1,6000000,算法4,0.047058136
arm64,O1,8000000,算法1,0.030256516
arm64,O1,8000000,算法2,0.029342370
arm64,O1,8000000,算法3,0.052640485
arm64,O1,8000000,算法4,0.051823875
arm64,O1,10000000,算法1,0.060434506
arm64,O1,10000000,算法2,0.059265267
arm64,O1,10000000,算法3,0.106395748
arm64,O1,10000000,算法4,0.097181087
arm64,O2,100000,算法1,0.000492876
arm64,O2,100000,算法2,0.000464201
arm64,O2,100000,算法3,0.000611389
arm64,O2,100000,算法4,0.000511524
arm64,O2,400000,算法1,0.001838148
arm64,O2,400000,算法2,0.001755420
arm64,O2,400000,算法3,0.002582590
arm64,O2,400000,算法4,0.002306179
arm64,O2,800000,算法1,0.003786709
arm64,O2,800000,算法2,0.003657154
arm64,O2,800000,算法3,0.005462522
arm64,O2,800000,算法4,0.005006531
arm64,O2,1000000,算法1,0.003808775
arm64,O2,1000000,算法2,0.003718351
arm64,O2,1000000,算法3,0.005359056
arm64,O2,1000000,算法4,0.004844047
arm64,O2,4000000,算法1,0.015123249
arm64,O2,4000000,算法2,0.014296913
arm64,O2,4000000,算法3,0.024183730
arm64,O2,4000000,算法4,0.022708612
arm64,O2,6000000,算法1,0.030076945
arm64,O2,6000000,算法2,0.029034682
arm64,O2,6000000,算法3,0.048413717
arm64,O2,6000000,算法4,0.376378431
arm64,O2,8000000,算法1,0.032793379
arm64,O2,8000000,算法2,0.031843070
arm64,O2,8000000,算法3,0.054590180
arm64,O2,8000000,算法4,0.054936556
arm64,O2,10000000,算法1,0.063474704
arm64,O2,10000000,算法2,0.057253334
arm64,O2,10000000,算法3,0.097152993
arm64,O2,10000000,算法4,0.094052797
arm64,O3,100000,算法1,0.000468916
arm64,O3,100000,算法2,0.000453469
arm64,O3,100000,算法3,0.000537325
arm64,O3,100000,算法4,0.000574932
arm64,O3,400000,算法1,0.001933669
arm64,O3,400000,算法2,0.001831537
arm64,O3,400000,算法3,0.002145386
arm64,O3,400000,算法4,0.002622929
arm64,O3,800000,算法1,0.003879120
arm64,O3,800000,算法2,0.003871235
arm64,O3,800000,算法3,0.004585140
arm64,O3,800000,算法4,0.005705182
arm64,O3,1000000,算法1,0.003767530
arm64,O3,1000000,算法2,0.003637465
arm64,O3,1000000,算法3,0.004390953
arm64,O3,1000000,算法4,0.005485995
arm64,O3,4000000,算法1,0.015137357
arm64,O3,4000000,算法2,0.014823524
arm64,O3,4000000,算法3,0.021126531
arm64,O3,4000000,算法4,0.024980390
arm64,O3,6000000,算法1,0.031000240
arm64,O3,6000000,算法2,0.029416509
arm64,O3,6000000,算法3,0.040873640
arm64,O3,6000000,算法4,0.047772449
arm64,O3,8000000,算法1,0.031070467
arm64,O3,8000000,算法2,0.029483967
arm64,O3,8000000,算法3,0.043299703
arm64,O3,8000000,算法4,0.048495785
arm64,O3,10000000,算法1,0.062892057
arm64,O3,10000000,算法2,0.060369045
arm64,O3,10000000,算法3,0.084927473
arm64,O3,10000000,算法4,0.096094643
arm64,O3_native,100000,算法1,0.000467050
arm64,O3_native,100000,算法2,0.000506655
arm64,O3_native,100000,算法3,0.000502148
arm64,O3_native,100000,算法4,0.000569085
arm64,O3_native,400000,算法1,0.001880734
arm64,O3_native,400000,算法2,0.001836977
arm64,O3_native,400000,算法3,0.002269953
arm64,O3_native,400000,算法4,0.002665116
arm64,O3_native,800000,算法1,0.003650295
arm64,O3_native,800000,算法2,0.003666572
arm64,O3_native,800000,算法3,0.004527395
arm64,O3_native,800000,算法4,0.005567325
arm64,O3_native,1000000,算法1,0.003812361
arm64,O3_native,1000000,算法2,0.003690630
arm64,O3_native,1000000,算法3,0.004332843
arm64,O3_native,1000000,算法4,0.005468038
arm64,O3_native,4000000,算法1,0.014832485
arm64,O3_native,4000000,算法2,0.014389243
arm64,O3_native,4000000,算法3,0.020437321
arm64,O3_native,4000000,算法4,0.024344487
arm64,O3_native,6000000,算法1,0.029226633
arm64,O3_native,6000000,算法2,0.028342506
arm64,O3_native,6000000,算法3,0.039744176
arm64,O3_native,6000000,算法4,0.047796952
arm64,O3_native,8000000,算法1,0.029284323
arm64,O3_native,8000000,算法2,0.028990656
arm64,O3_native,8000000,算法3,0.042223021
arm64,O3_native,8000000,算法4,0.049570844
arm64,O3_native,10000000,算法1,0.059044311
arm64,O3_native,10000000,算法2,0.058014590
arm64,O3_native,10000000,算法3,0.086218393
arm64,O3_native,10000000,算法4,0.098172084
